V1,V2,V3,V4,V5,V6,V7,V8
0.923636,1.94788,0.804172,-0.437682,-6.65E-01,-1.08E+00,-1.03E+00,-1.55E+00
1.23914,-0.3327,1.1507,-0.25868,-1.28E+00,-1.21E+00,-1.41E+00,-1.22E-01
-2.34856,0.584532,1.10691,0.211972,1.08E+00,7.60E-01,8.06E-01,1.14E+00
-0.445228,-1.07386,0.336231,-0.696272,-6.08E-01,8.48E-01,-8.08E-01,3.72E-01
-0.226507,0.328506,0.776574,-0.247932,-1.12E+00,9.10E-01,-9.34E-01,9.34E-01
-0.466035,0.296853,0.231266,-1.31345,-3.41E-01,-8.66E-01,-7.23E-01,-7.20E-01
0.132819,0.592285,0.547102,-0.0832174,-1.24E+00,-1.35E+00,-1.28E+00,-5.69E-01
1.15133,2.39485,-0.231813,-1.34946,1.15E+00,9.65E-01,3.91E-01,1.62E+00
-1.21784,-0.341861,0.0554508,-0.782613,-9.59E-01,1.13E+00,-1.38E+00,1.01E+00
-0.418846,-0.841278,0.812426,-0.220947,-1.32E+00,9.19E-01,-1.72E-01,1.18E+00
-0.712767,1.2983,0.477982,-0.829383,9.44E-01,7.58E-01,5.66E-01,1.24E+00
-0.191522,0.794698,0.084509,-0.725319,-2.91E-01,-2.02E-01,-2.89E-01,2.76E-02
0.380644,0.439597,-0.331227,-1.58154,-9.53E-01,1.11E+00,-8.64E-01,1.34E+00
-1.5454,-0.00838385,0.773361,-0.36036,1.07E+00,1.10E+00,1.39E+00,5.48E-01
-0.574918,-0.360171,0.991043,-0.0354512,-1.01E+00,-4.12E-01,-7.17E-01,-1.60E+00
0.0139767,-0.948404,0.804015,0.0235542,9.38E-01,-1.20E+00,8.45E-01,-1.22E+00
0.0322302,-1.27031,-0.392061,-0.54412,-1.18E+00,-1.19E+00,-1.18E+00,-1.13E+00
1.34481,-1.25864,0.310232,-1.08774,4.54E-01,-9.51E-01,7.56E-01,-1.18E+00
0.570863,-0.668941,0.724599,0.075749,-1.26E+00,-1.10E+00,-7.69E-01,-8.18E-01
-1.83607,-2.47925,-0.317119,-1.54741,-9.42E-01,1.38E+00,-5.64E-01,5.54E-01
1.23692,0.380583,0.000622507,-0.69196,-6.25E-01,1.06E+00,-8.72E-01,1.01E+00
-1.27367,0.240207,0.354772,-0.706444,1.11E+00,-5.13E-01,2.78E-01,-1.29E+00
0.217265,-1.99439,1.06674,-0.0265127,-9.63E-01,-4.49E-01,-9.97E-01,-1.31E+00
-0.142906,-2.04747,0.91707,-0.0778731,-7.76E-01,-8.64E-01,-5.80E-01,-3.73E-01
-1.42767,-0.880288,0.951334,0.230829,-5.37E-01,2.42E-02,7.57E-02,7.47E-02
1.30847,0.195013,0.112241,-0.606921,1.00E+00,1.54E+00,1.04E+00,1.12E+00
-1.63559,0.244798,0.696198,-0.308189,1.13E+00,8.15E-01,1.14E+00,1.51E+00
-1.71974,0.123298,1.00315,0.535761,-3.08E-03,-1.87E-01,2.74E-01,1.90E-01
-1.57836,0.575747,1.08902,0.248996,6.72E-01,1.06E+00,6.08E-01,7.08E-01
-0.0538417,0.39179,-0.0501745,-1.22449,1.01E+00,1.06E+00,8.59E-01,1.08E+00
0.633772,-0.57568,0.0544517,-1.73182,-1.24E+00,-1.17E+00,-1.47E+00,-3.67E-01
-0.244674,0.729995,0.995965,0.244642,3.20E-01,-8.97E-01,9.71E-01,-1.07E+00
-0.0107447,1.3486,-0.499409,-0.870886,1.43E+00,-1.17E+00,1.24E+00,-5.85E-01
2.14174,-0.253987,0.246151,-0.852701,-9.79E-01,-1.15E+00,-1.00E+00,-1.14E+00
-0.272211,0.244913,-0.134703,-1.41816,2.01E-01,1.48E-01,3.66E-01,3.11E-02
-0.305824,-0.658715,0.218787,-0.669833,-1.41E+00,8.90E-01,-9.42E-01,1.41E+00
-1.26227,0.523924,-0.418865,-1.0991,-1.09E+00,1.16E+00,-8.56E-01,1.19E+00
0.665172,-0.493223,-0.00903999,-1.01942,7.92E-01,9.55E-01,8.69E-01,1.55E+00
1.03919,-2.0325,0.956926,-0.114608,-1.31E-01,-4.10E-01,-4.35E-01,3.09E-01
1.16717,-0.571977,0.98316,-0.000415513,4.16E-01,7.26E-01,1.07E+00,1.12E+00
0.738625,0.612592,0.710214,-0.217293,-1.42E+00,-8.48E-01,-1.65E+00,-9.07E-01
0.771677,-0.696381,0.937917,-0.203429,-1.27E+00,-1.34E+00,-9.18E-01,-1.14E+00
0.467745,-0.751533,-0.197015,-1.2079,9.07E-01,1.03E+00,1.12E+00,1.68E-01
-0.323889,-0.611697,0.313347,-0.509995,1.09E+00,-1.30E+00,6.90E-01,-1.27E+00
-1.26902,0.754876,0.451726,-1.17866,-1.12E+00,1.48E+00,-1.53E+00,9.10E-01
1.10771,0.244544,-0.025184,-0.983254,-8.73E-01,-1.56E+00,-9.41E-01,-6.43E-01
2.81952,-1.13561,0.996656,0.00344967,-8.41E-01,-1.19E-01,-2.14E-01,3.90E-01
-0.252115,-0.539489,-0.175904,-1.13406,7.79E-01,-1.09E+00,8.04E-01,-1.30E+00
-1.38819,-0.411307,0.949073,-0.0402398,3.44E-01,2.34E-01,1.63E-01,3.66E-01
-0.340298,-0.0102642,-0.194482,-0.997832,-1.24E+00,8.10E-01,-1.01E+00,1.46E+00
-0.26434,-0.303192,0.376381,-0.996275,1.88E-01,2.50E-01,9.42E-02,1.27E-02
0.0608756,-0.527815,1.15698,-0.161275,-1.04E+00,1.01E+00,-1.03E+00,4.70E-01
0.864518,-2.09779,1.04976,0.398742,9.64E-01,1.15E+00,1.29E+00,1.43E+00
-0.31908,-1.46141,0.359414,-0.460476,-1.46E+00,-9.02E-01,-9.16E-01,-1.11E+00
0.710898,0.161784,0.77774,-0.182487,-1.36E-01,-8.80E-02,-3.28E-01,3.74E-01
-1.53441,1.06006,0.51094,0.138835,-6.27E-01,-1.36E+00,-1.26E+00,-1.18E+00
0.790961,0.0949581,0.744481,0.546817,-4.14E-01,-6.28E-01,-7.18E-01,-1.31E+00
0.141836,-1.07365,1.15698,-0.0514639,-1.19E-01,3.48E-01,4.22E-01,6.37E-01
2.27653,1.6435,0.287462,-1.78461,9.74E-01,8.31E-01,1.29E+00,1.15E+00
0.838579,-1.32522,1.1692,-0.385366,-3.37E-01,-2.53E-01,-6.21E-02,-3.71E-01
0.22481,0.517413,0.473233,0.13528,9.17E-01,4.55E-01,-3.04E-01,-5.16E-02
0.0260965,-0.969706,0.571919,-0.279771,-5.10E-01,-3.68E-01,-1.61E-02,1.88E-01
-1.89393,1.61987,0.947961,-0.153009,-3.04E-02,3.13E-01,-2.61E-01,-3.49E-01
0.0156693,-1.06146,0.7977,0.00954917,-1.37E+00,9.47E-01,-1.20E+00,1.36E+00
0.31138,-0.730631,-0.199393,-0.318982,1.11E+00,7.26E-01,1.24E+00,1.32E+00
-1.17377,-0.933113,1.06378,0.464109,-9.05E-01,-8.16E-01,-1.17E+00,-8.07E-01
0.621994,0.266316,0.572665,-1.16906,-1.17E+00,-9.71E-01,-1.02E+00,-7.49E-01
0.42497,0.381728,0.939131,-0.0329648,-8.32E-01,-1.38E+00,-1.10E+00,-1.06E+00
0.282143,-0.693913,-0.429041,-0.600158,7.29E-01,-7.99E-01,1.53E+00,-1.05E+00
-1.54689,1.28413,1.12318,0.144291,-1.19E+00,7.32E-01,-9.70E-01,9.84E-01
-0.482093,0.0895876,1.00916,-0.0110651,-9.92E-02,3.94E-01,1.54E-01,1.75E-01
0.806365,-0.430649,-0.0134578,-0.66841,-2.66E-02,-2.30E-01,1.23E-01,-7.77E-02
2.31913,0.308668,0.638879,0.125113,-1.23E+00,1.39E+00,-1.16E+00,9.14E-01
0.0171042,-0.435347,1.38884,0.184938,8.36E-02,-6.16E-01,-1.71E-01,-9.19E-02
1.15761,-0.341451,1.22558,0.168897,2.77E-02,-1.63E-01,-1.50E-01,1.16E-01
-0.333229,0.370743,0.430123,-1.17059,1.13E+00,9.55E-01,6.98E-01,7.54E-01
1.30196,0.594361,1.25773,-0.242888,5.66E-01,8.64E-01,1.10E+00,9.59E-01
-0.110524,-1.67703,-0.0753727,-1.11485,-1.05E+00,-1.48E+00,-9.19E-01,-8.41E-01
1.22749,0.0787975,-0.553622,-1.77968,-7.29E-01,-1.90E+00,-1.70E+00,-1.17E+00
1.02572,1.71463,1.23198,-0.355164,1.07E+00,-1.02E+00,9.98E-01,-1.02E+00
-1.00657,-0.257534,1.03147,0.0401739,8.00E-01,1.10E+00,1.10E+00,1.67E+00
0.166545,0.169318,0.985497,-0.18243,-1.33E+00,9.92E-01,-1.44E+00,1.69E+00
0.239353,-1.20714,0.537761,0.0189786,-1.43E+00,8.42E-01,-1.14E+00,8.70E-01
1.52544,0.0450304,-0.086456,-0.622541,-1.49E+00,4.05E-01,-7.84E-01,1.10E+00
1.98508,1.74481,1.44603,0.0128339,-1.05E+00,1.16E+00,-1.27E+00,1.32E+00
0.773587,-1.21644,0.395078,-0.161836,-1.26E+00,-8.78E-01,-2.20E-01,-5.00E-01
0.640702,-1.2572,-0.0931914,-1.26306,2.53E-01,6.02E-03,3.20E-01,4.19E-01
0.730877,-1.80635,0.458424,0.249116,-1.44E+00,-6.97E-01,-8.51E-01,-8.27E-01
-0.475616,-2.10692,0.224628,-0.202818,7.67E-01,9.10E-01,6.98E-01,3.57E-01
1.21653,-0.00271237,1.12214,-0.188567,9.22E-01,9.45E-01,9.39E-01,9.67E-01
-1.08755,0.62736,0.512103,-0.0404467,-2.09E-01,-2.22E-01,7.06E-02,-4.58E-03
-1.28422,-0.466093,-0.420359,-0.861192,1.35E+00,-1.07E+00,8.71E-01,-5.00E-01
0.0299878,-0.975896,1.18124,-0.488875,-9.54E-01,-1.11E+00,-1.00E+00,-7.55E-01
-0.230482,0.000372084,-0.000767129,-0.841696,-1.23E+00,-1.60E+00,-9.18E-01,-9.44E-01
0.929633,-0.972658,1.52219,-0.0880455,8.56E-01,8.43E-01,1.31E+00,1.21E+00
-0.251933,-0.613414,0.179996,-1.23051,-1.06E+00,1.41E+00,-1.23E+00,8.21E-01
-1.459,-1.49442,0.352219,-0.840661,1.23E+00,1.31E+00,7.27E-01,8.73E-01
0.209551,-0.135478,0.718616,0.0821188,-5.27E-01,1.08E+00,-6.20E-01,1.36E+00
0.198643,0.99742,0.262119,-1.70465,-7.54E-01,6.98E-01,-1.20E+00,1.01E+00
0.375119,0.548225,1.13968,-0.261648,-1.20E+00,1.29E+00,-1.26E+00,1.37E+00
0.501637,-0.927362,1.11711,0.476559,1.07E+00,-1.19E+00,1.08E+00,-1.44E+00
1.25269,0.151458,1.32311,-0.067448,-1.23E+00,-8.21E-01,-1.15E+00,-1.21E+00
0.466177,0.764862,0.0612956,-1.57621,-2.03E-01,-4.08E-01,2.21E-01,-5.98E-02
1.01095,0.459729,0.215537,-0.527142,1.47E+00,-1.28E+00,1.32E+00,-1.13E+00
2.01352,-0.0825984,0.0326446,-1.44862,-8.17E-01,9.21E-01,-8.74E-01,6.67E-01
-0.836071,-0.655926,1.2971,0.487929,1.20E+00,-1.19E+00,1.03E+00,-1.18E+00
1.01887,-0.367947,0.0325945,-0.986761,-9.39E-01,-6.26E-01,-7.90E-01,-7.91E-01
-1.77661,-1.84467,1.46838,-0.282081,-1.28E+00,-8.85E-01,-8.81E-01,-1.38E+00
-1.20218,-0.00478424,-0.302266,-0.829939,2.32E-01,1.06E-01,7.09E-01,-4.17E-01
-1.49012,1.14635,-0.324442,-1.50136,6.03E-01,-9.51E-01,8.13E-01,-1.22E+00
-0.258079,-0.817841,0.781287,0.0589672,-9.69E-01,-8.49E-01,-6.01E-01,-9.35E-01
1.66086,0.0268707,-0.0877016,-1.05806,1.51E+00,7.70E-01,1.23E+00,6.92E-01
-0.228638,-0.899256,1.08607,-0.696178,1.68E+00,5.64E-01,1.01E+00,9.44E-01
-0.973785,0.647184,1.02026,0.233281,-1.07E+00,-5.74E-01,-1.21E+00,-7.79E-01
-0.950798,0.360584,0.820999,0.170117,-7.82E-01,1.03E+00,-1.42E+00,1.09E+00
-0.619556,0.144789,0.391432,-1.02797,-1.20E+00,8.31E-01,-9.86E-01,4.28E-01
0.110908,-0.901362,0.313414,0.0754453,-9.19E-01,8.57E-01,-1.02E+00,1.18E+00
-1.50503,0.477146,1.27002,0.540673,-5.48E-02,-4.62E-01,2.04E-02,2.10E-01
-0.20766,1.16359,-0.218439,-0.77725,-9.43E-01,8.85E-01,-1.44E+00,1.37E+00
0.305,-0.678094,1.03807,0.120597,-1.58E+00,-1.29E+00,-1.24E+00,-9.68E-01
-0.508563,-2.71033,0.495635,-0.266691,-3.93E-01,2.46E-01,-3.29E-02,-7.38E-01
2.67508,0.171185,-0.171949,-1.29533,8.69E-02,-2.39E-01,-1.66E-01,1.76E-02
1.35307,-1.34091,1.07174,0.419369,1.20E+00,-8.22E-01,1.09E+00,-9.33E-01
-0.474965,0.846343,1.28626,0.163243,-8.83E-01,-6.01E-01,-1.30E+00,-1.13E+00
-0.663954,1.20206,1.00044,-0.230011,-3.41E-01,-2.26E-01,-3.70E-01,-2.95E-01
-0.285636,-1.14653,1.24017,0.0234781,1.12E+00,-1.37E+00,1.20E+00,-1.08E+00
0.143234,-0.776143,0.272161,-1.25363,9.51E-01,1.23E+00,1.10E+00,9.56E-01
-2.79561,1.07296,-0.158742,-0.879051,-2.80E-01,8.60E-01,-5.38E-01,1.63E-01
0.542344,0.484589,0.639257,0.12483,8.43E-01,1.31E+00,1.12E+00,8.48E-01
-1.36619,1.13902,0.0811232,-0.84124,-1.36E+00,5.35E-01,-1.18E+00,8.17E-01
-0.429722,-0.602068,1.33111,0.120159,2.16E-01,-2.86E-03,-5.36E-01,8.42E-02
0.342726,0.87263,0.348465,-1.24503,-7.53E-01,8.39E-01,-1.37E+00,1.22E+00
1.8245,-0.610034,1.15217,-0.0348689,1.14E+00,-4.71E-01,1.27E+00,-1.01E+00
1.00994,0.00719385,0.716689,0.0714309,1.21E+00,-1.23E+00,6.44E-01,-1.17E+00
-0.456173,1.11421,1.24536,0.0714601,-7.33E-01,-5.38E-01,-1.44E+00,-1.02E+00
-0.409269,-0.247475,-0.123315,-0.77521,1.03E+00,-1.39E+00,6.73E-01,-1.50E+00
0.415146,-0.131507,-0.0684514,-1.2671,-1.17E+00,-5.32E-01,-1.34E+00,-1.09E+00
0.848669,0.0609586,1.45928,0.0277343,8.51E-01,9.78E-01,1.00E+00,1.47E+00
0.338059,1.10387,0.983534,0.156767,-1.36E+00,9.67E-01,-1.35E+00,1.40E+00
-0.160966,-0.313499,0.969036,-0.315417,5.67E-01,-1.12E+00,1.24E+00,-7.47E-01
-0.463887,-0.113888,-0.10171,-1.01032,2.05E-01,1.83E-01,-3.91E-01,7.62E-02
-1.47506,-1.09929,-0.0158744,-1.17501,-7.92E-01,-1.06E+00,-5.48E-01,-1.18E+00
-1.04325,0.199327,0.951588,0.538335,1.33E+00,6.72E-01,9.56E-01,1.34E+00
2.85987,-1.26526,-0.257544,-0.666948,8.21E-01,1.17E+00,1.30E+00,8.46E-01
-1.71326,0.873958,-0.149611,-1.50885,1.97E-01,4.00E-01,-2.22E-01,1.06E-02
0.482322,-1.03231,1.02597,0.425777,2.02E-01,-1.29E+00,1.08E+00,-9.12E-01
1.64368,0.728141,0.000280199,-1.56741,6.73E-01,-1.10E+00,4.46E-01,-1.78E+00
-0.916646,-0.649446,0.157131,-0.957108,-1.10E+00,8.40E-01,-8.93E-01,1.50E+00
-1.10921,-1.23846,0.150375,-0.366394,-1.56E+00,7.65E-01,-1.42E+00,5.63E-01
-0.0877727,1.91761,1.0307,-0.0672277,-8.66E-01,7.91E-01,-9.50E-01,8.99E-01
-0.607809,1.69032,-0.402958,-0.772589,2.48E-01,-1.90E-01,-1.81E-01,7.42E-02
0.0758631,1.08675,1.00632,0.0298363,-7.80E-01,-4.28E-01,-1.40E+00,-9.93E-01
-1.28496,0.74428,0.192285,-0.721993,-8.77E-01,-8.56E-01,-1.19E+00,-7.44E-01
0.336201,0.811011,0.252584,-0.836988,-1.22E+00,-1.16E+00,-1.08E+00,-5.91E-01
-0.0525755,-0.479497,0.105808,-0.923093,-1.39E+00,-1.05E+00,-1.57E+00,-1.36E+00
0.34659,-0.946861,0.512236,-1.51763,9.49E-01,-6.91E-01,1.04E+00,-1.26E+00
-0.948569,0.325331,-0.0522876,-1.34674,8.97E-01,1.01E+00,1.38E+00,7.34E-01
0.319356,0.460903,1.01144,0.153815,-7.97E-01,8.83E-01,-1.31E+00,2.73E-01
-0.563019,-0.727739,-0.515595,-1.31709,1.31E+00,-8.72E-01,3.82E-01,-9.74E-01
0.339723,0.412625,1.22651,-0.418961,1.06E+00,-1.02E+00,1.62E+00,-1.36E+00
0.058071,1.68702,1.69118,-0.318005,-4.00E-02,-4.70E-01,-5.25E-01,-3.37E-01
1.33499,0.228217,-0.152603,-0.841468,7.21E-01,-5.30E-01,1.35E+00,-1.25E+00
2.33231,-1.03657,0.196252,-0.762836,-9.68E-01,-1.27E+00,-1.44E+00,-8.27E-01
-1.13712,2.02384,0.843214,0.312893,4.29E-01,1.30E-01,-4.33E-01,4.82E-02
0.0250569,0.21788,1.64897,0.400958,1.10E+00,-1.07E+00,1.06E+00,-9.77E-01
-0.338771,-1.2925,1.45563,-0.351348,-9.56E-01,1.05E+00,-1.26E+00,1.02E+00
-1.04364,0.158136,1.31032,-0.298864,4.45E-01,1.42E+00,5.89E-01,1.23E+00
1.53709,-0.00983003,0.133199,-1.14135,-1.27E+00,-9.04E-01,-1.42E+00,-8.22E-01
0.855058,-1.34372,0.322681,-0.884979,-1.45E+00,9.29E-01,-1.38E+00,6.79E-01
0.793576,-0.390994,-0.00826027,-1.10799,1.53E+00,-1.00E+00,1.23E+00,-1.11E+00
0.664629,0.150299,0.981914,0.0834243,1.07E+00,1.64E+00,1.28E+00,9.89E-01
-1.80956,-0.25345,1.1686,-0.302373,-1.60E-01,-1.10E+00,-1.35E+00,-7.34E-01
0.03997,-0.937681,0.388023,-0.649276,7.42E-02,2.73E-02,2.81E-01,1.99E-01
-1.15872,0.439733,0.637058,-0.580945,7.74E-01,-7.38E-01,8.00E-01,-8.98E-01
-0.704911,0.862026,0.887456,-0.367859,8.78E-01,7.41E-01,9.57E-01,8.85E-01
-0.504304,0.416965,0.917299,-0.212918,1.51E+00,-5.47E-01,1.01E+00,-1.36E+00
0.4588,-0.444554,0.775093,0.00984262,-6.40E-01,1.55E+00,-6.02E-01,9.48E-01
-0.600167,0.440759,1.01202,-0.0983265,1.35E+00,8.10E-01,1.05E+00,1.03E+00
0.784999,-0.432283,0.833761,0.449847,-8.95E-01,-1.07E+00,-9.12E-01,-1.24E+00
-0.0277322,-1.01478,-0.131875,-1.43096,-2.31E-02,3.79E-01,7.07E-02,-3.18E-01
1.68299,-0.122604,0.655717,-0.107434,1.28E+00,5.83E-01,1.26E+00,1.06E+00
0.624297,1.44242,-0.355565,-0.579767,-1.19E+00,2.31E-01,-9.27E-01,1.17E+00
0.938816,-1.0219,-0.106139,-0.968821,-6.69E-01,7.76E-01,-3.71E-01,5.97E-01
-0.171658,-0.55825,0.22085,-1.29736,6.66E-02,-1.63E-01,-4.64E-01,-1.30E-01
-0.331309,-1.00628,0.270569,-0.509356,5.85E-02,-6.49E-02,3.17E-01,-2.27E-01
1.04848,0.936088,0.086493,-1.11362,-6.07E-01,1.29E+00,-1.04E+00,8.67E-01
0.851221,-0.0236007,0.708669,0.0944452,-4.98E-01,-1.00E-01,2.03E-01,-3.14E-03
-0.0651472,-1.66575,0.202923,-0.682836,-1.66E-01,6.21E-01,-1.10E-01,-2.69E-01
0.377397,-0.506659,-0.0950736,-1.47606,4.47E-01,8.57E-01,8.56E-01,1.19E+00
0.565813,-1.41164,1.14184,-0.158127,-8.69E-01,1.75E+00,-6.25E-01,7.40E-01
-0.225194,0.168059,1.31848,-0.355466,4.26E-01,1.20E+00,9.54E-01,1.36E+00
-0.0835498,0.782395,-0.250839,-0.456825,6.02E-01,-4.21E-01,1.42E+00,-9.02E-01
-0.864295,-1.04802,0.31821,-0.762611,7.29E-02,2.79E-02,5.24E-02,-8.82E-02
-0.24009,1.91047,-0.0166317,-0.761032,-3.69E-01,-3.45E-01,2.93E-01,-4.87E-02
-1.56593,1.22389,1.26382,0.190627,-8.33E-02,5.80E-02,8.37E-02,-3.25E-01
-1.0122,-0.915965,-0.426571,-1.2808,9.69E-01,1.12E+00,1.04E+00,1.44E+00
-0.127567,0.026141,1.42085,0.100753,-1.28E+00,-4.68E-01,-9.91E-01,-8.34E-01
-2.01772,0.540541,0.492289,0.218804,-2.61E-01,-9.17E-02,-1.82E-01,6.74E-02
-0.443929,0.349939,0.257848,-1.22247,1.74E+00,-7.84E-01,1.06E+00,-1.33E+00
1.23593,1.19069,0.245986,-0.68157,-1.60E-01,-8.44E-04,2.88E-01,3.06E-01
0.236402,0.0502781,0.69795,0.504473,1.57E+00,5.00E-01,1.49E+00,9.37E-01
-0.235087,-0.862865,0.0921495,-0.453282,2.69E-01,1.04E-01,9.67E-02,2.01E-01
0.227022,-0.0636823,-0.255573,-1.16219,9.03E-01,7.87E-01,8.84E-01,9.82E-01
0.11476,-1.39042,0.237713,-1.48751,-9.54E-01,-7.92E-01,-1.10E+00,-8.01E-01
-0.566626,-0.00841553,-0.0788808,-0.841371,5.64E-01,-9.08E-01,6.54E-01,-8.37E-01
0.479228,-1.06933,1.19991,-0.138216,-9.00E-01,-1.05E+00,-1.12E+00,-4.76E-01
-0.725575,1.19432,0.0667427,-0.836694,6.85E-01,-9.23E-01,6.44E-01,-8.02E-01
-0.816958,-1.26338,0.582395,0.177662,7.78E-01,-1.78E+00,6.47E-01,-7.09E-01
-1.11052,-0.0917687,0.324496,-0.970279,1.16E+00,-8.25E-01,7.29E-01,-9.39E-01
0.309607,-0.400657,0.0929171,-1.22124,8.96E-01,8.26E-01,5.10E-01,5.30E-01
-0.857523,-0.364278,1.35641,0.0950828,4.34E-01,-1.02E+00,7.45E-01,-7.25E-01
-0.314817,-0.265138,1.04776,-0.296429,-9.34E-01,1.12E+00,-8.37E-01,8.93E-01
0.204833,1.98324,0.952808,0.082872,-1.23E+00,1.12E+00,-1.55E+00,7.80E-01
1.11759,0.805152,0.874757,-0.329249,-9.81E-01,9.31E-01,-1.31E+00,1.05E+00
-0.546036,-1.01542,0.686555,0.236971,2.12E-01,2.33E-01,-1.65E-01,-5.86E-02
-1.41567,-0.956512,0.871389,-0.191352,8.85E-01,-1.01E+00,6.16E-01,-1.09E+00
-0.516653,-0.882811,1.14885,0.173087,-8.79E-01,1.05E+00,-1.15E+00,1.25E+00
0.396726,-0.576117,1.31203,0.0493931,-7.50E-01,1.06E+00,-7.95E-01,9.66E-01
2.4949,-0.462448,1.31603,-0.169022,-2.97E-01,-4.81E-01,1.61E-01,-1.93E-02
-0.33434,0.182799,-0.332128,-0.768112,-1.22E+00,1.08E+00,-1.64E+00,1.50E+00
-0.424438,-0.713754,1.11135,-0.296947,-1.06E+00,-1.17E+00,-7.75E-01,-1.23E+00
-0.233937,0.632289,-0.173303,-1.09847,-1.28E+00,9.58E-01,-1.26E+00,1.21E+00
-0.0474807,1.18146,0.886547,0.255867,1.75E-01,8.13E-01,5.86E-02,6.02E-01
0.810206,1.18741,1.06822,-0.305022,7.19E-02,-2.65E-01,8.76E-02,7.59E-02
-2.38426,-0.647024,0.184194,-1.17294,5.91E-01,9.93E-01,9.19E-01,6.05E-01
-2.46222,-2.41123,0.138064,-1.11975,-1.20E+00,8.78E-01,-1.10E+00,8.41E-01
1.0186,-1.66652,1.5265,-0.0398965,1.42E+00,8.77E-01,1.16E+00,1.07E+00
-0.466903,-0.17902,0.118033,-0.914045,-8.75E-01,-9.22E-01,-1.35E+00,-9.01E-01
-2.55363,0.278134,1.055,0.501283,-4.56E-01,-1.45E-01,1.85E-01,2.46E-01
-0.560537,0.151591,1.122,0.360509,1.19E+00,-9.39E-01,6.91E-01,-9.40E-01
-0.0698399,0.23135,0.030678,-1.08067,8.58E-01,-1.41E+00,3.22E-01,-1.27E+00
-0.983728,0.412533,0.801343,-0.473282,4.62E-01,-5.99E-01,-9.58E-03,6.72E-02
-0.15147,0.402988,1.05096,0.0272478,9.80E-01,6.04E-01,8.89E-01,7.16E-01
-0.89097,-0.864407,1.12242,-0.489001,1.20E+00,7.88E-01,1.01E+00,5.30E-01
-0.720497,0.445419,0.524658,0.253336,1.25E-01,-1.49E-01,1.37E-01,4.19E-01
2.41854,-1.44345,-0.23317,-1.39851,-9.37E-01,-1.06E+00,-1.19E+00,-9.51E-01
0.242578,-0.343042,0.926475,-0.233603,-7.18E-01,-1.81E+00,-8.65E-01,-8.20E-01
0.350942,1.21893,1.49594,-0.209795,-1.66E-01,-1.28E-01,-4.04E-01,6.93E-02
-0.664633,1.51263,0.875859,-0.329077,1.37E+00,9.42E-01,9.90E-01,5.41E-01
0.83585,-0.163884,0.616093,-0.175629,1.29E-02,4.24E-01,3.40E-01,-2.65E-01
-1.08497,-0.0688875,-0.0287614,-0.881369,8.94E-01,5.88E-01,8.07E-01,3.33E-01
0.472329,1.00169,1.11482,-0.0102727,-9.82E-01,4.69E-01,-1.25E+00,6.97E-01
-0.616133,-1.29353,-0.204242,-0.674576,6.47E-01,6.58E-01,1.53E+00,9.60E-01
-0.136439,-2.13043,0.148334,-0.771583,5.78E-01,8.23E-01,9.67E-01,5.02E-01
0.510325,1.49689,0.0279114,-1.01127,8.54E-02,1.30E-01,3.75E-02,-2.70E-01
0.485003,-1.6586,0.722826,0.423646,1.05E+00,-1.73E+00,8.96E-01,-1.27E+00
